Category,Product_Name,Amazon_Price,Amazon_Coupon,Amazon_URL,Flipkart_Price,Flipkart_Coupon,Flipkart_URL
Phones,Samsung Galaxy S24 FE 5G,29999,"10% off on SBI CC (up to ₹2000)",https://www.amazon.in/Samsung-S24-FE-5G-Processor/dp/B0F2YMLRDG,34999,"10% off on Axis CC (up to ₹1500)",https://www.flipkart.com/samsung-galaxy-s24-fe-5g-graphite-128-gb/p/itme960199e26f23
Phones,realme P4 Pro 5G,22999,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/realme-Smartphone-6-8-inch-Display-Snapdragon%C2%AE/dp/B0FMDZJM2T,24999,"5% cashback on HDFC CC",https://www.flipkart.com/realme-p4-pro-5g-midnight-ivy-128-gb/p/itme41a54752cc21
Phones,OnePlus Nord 5,30999,"10% off on ICICI CC (up to ₹1500)",https://www.amazon.in/OnePlus-Snapdragon-Stable-Flagship-Powered/dp/B0FCMKSP7V,30499,"10% off on Axis CC (up to ₹1000)",https://www.oneplus.in/oneplus-nord-5
Phones,Redmi A4 5G,7499,"10% off on SBI CC (up to ₹500)",https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0DLW4QD72,8080,"5% cashback on ICICI CC",https://www.flipkart.com/redmi-a4-5g-only-jio-sim-starry-black-64-gb/p/itmf6a8b6a3d4395
Phones,Samsung Galaxy A32,21999,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09LS1P2FB,24999,"10% off on HDFC CC (up to ₹1000)",https://www.flipkart.com/samsung-galaxy-a32-awesome-black-128-gb/p/itm3629d34759a4d
Phones,Samsung Galaxy A72,14999,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B08V9XHZW5,24999,"5% cashback on Axis CC",https://www.flipkart.com/samsung-galaxy-a72-awesome-black-128-gb/p/itme6d14bf36c7af
Phones,Samsung Galaxy J8,10900,"10% off on ICICI CC (up to ₹500)",https://www.amazon.in/Samsung-Galaxy-J8-Storage-Offers/dp/B07FH4PDHJ,18800,"10% off on ICICI CC (up to ₹500)",https://www.flipkart.com/samsung-galaxy-j8-black-64-gb/p/itmf6gzusrgpzcf4
Phones,Samsung Galaxy A9,14999,"10% off on HDFC CC (up to ₹1000)",N/A,27540,"5% cashback on Axis CC",https://www.flipkart.com/samsung-galaxy-a9-lemon-pop-128-gb/p/itm5f4b3a9c5e4d6
Phones,Samsung Galaxy S,46799,"10% off on SBI CC (up to ₹3000)",https://www.amazon.in/Samsung-Galaxy-S24-FE-5G/dp/B0F2YMLRDG,46949,"10% off on HDFC CC (up to ₹2500)",https://www.flipkart.com/samsung-galaxy-s-phantom-gray-128-gb/p/itm5f4b3a9c5e4d6
Phones,vivo V60e 5G,18999,"10% off on ICICI CC (up to ₹1000)",https://www.amazon.in/Noble-Storage-Additional-Exchange-Offers/dp/B0FR9RGW8C,18999,"5% cashback on Axis CC",https://www.flipkart.com/vivo-v60-5g-auspicious-gold-256-gb/p/itmf7d9e4b7bf0b2
Phones,iQOO 13,59999,"10% off on SBI CC (up to ₹3000)",https://www.amazon.in/iQOO-Legend-16GB-512GB-Storage/dp/B07WDKLXFR,59999,"10% off on ICICI CC (up to ₹2000)",https://www.flipkart.com/iqoo-13-5g-legend-12gb-ram-256gb-rom/p/itm6f8b3c4d7e5f2
Phones,OnePlus 13s,50999,"10% off on HDFC CC (up to ₹3000)",https://www.amazon.in/OnePlus-Snapdragon™-Battery-Lifetime-Warranty/dp/B0F5WTG8RG,50999,"5% cashback on HDFC CC",https://www.flipkart.com/oneplus-13s-5g-black-velvet-256-gb/p/itmb6d10cf953b5d
Phones,Redmi Note 14 Pro,20150,"10% off on ICICI CC (up to ₹1000)",https://www.amazon.in/Redmi-Note-14-Pro-5G/dp/B0DQVH9QGQ,21999,"10% off on Axis CC (up to ₹1000)",https://www.flipkart.com/redmi-note-14-pro-5g-ivy-green-128-gb/p/itm260f3edcb0cde
Phones,Samsung Galaxy M35 5G,15690,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Samsung-Moonlight-Storage-Corning-Gorilla/dp/B0D7Z8GTQN,16998,"5% cashback on ICICI CC",https://www.flipkart.com/samsung-galaxy-m35-5g-thunder-grey-128-gb/p/itm24a2a82cf1782
Phones,Redmi 13C,8999,"10% off on HDFC CC (up to ₹500)",https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5,10999,"10% off on HDFC CC (up to ₹500)",https://www.flipkart.com/redmi-13c-5g-startrail-silver-128-gb-6-gb-ram/p/itm382ed565824e5
Phones,Lava A2 Smart,1399,"10% off on ICICI CC (up to ₹200)",https://www.amazon.in/Lava-A2-Smart-Keypad-Mobile/dp/B0FH9XNKFM,1399,"5% cashback on Axis CC",https://www.flipkart.com/lava-a2-smart-blue-32-gb/p/itm5f4b3a9c5e4d6
Phones,Samsung Galaxy M14,12999,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Samsung-Sapphire-Snapdragon-Processor-Security/dp/B0CV7MPKNK,12999,"10% off on ICICI CC (up to ₹1000)",https://www.flipkart.com/samsung-galaxy-m14-5g-smoky-teal-128-gb/p/itmb2e6db6c62f07
Phones,OnePlus Nord CE4,18499,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/OnePlus-Nord-CE4-Lifetime-Warranty/dp/B0CX58MTNN,19201,"5% cashback on HDFC CC",https://www.flipkart.com/oneplus-nord-ce4-dark-chrome-128-gb/p/itm5a09089114afb
Phones,iQOO Z9,17899,"10% off on ICICI CC (up to ₹1000)",https://www.amazon.in/iQOO-Brushed-Dimensity-Processor-Brightness/dp/B07WZH7WM9,18952,"10% off on Axis CC (up to ₹1000)",https://www.flipkart.com/iqoo-z9-5g-brushed-green-128-gb/p/itm6f8b3c4d7e5f2
Phones,Redmi 12 5G,12490,"10% off on SBI CC (up to ₹500)",https://www.amazon.in/Redmi-Jade-Black-6GB-128GB/dp/B0C9JFWBH7,12999,"5% cashback on ICICI CC",https://www.flipkart.com/redmi-12-5g-moonstone-silver-128-gb/p/itm0c8ba13f6fc5b
Phones,Samsung Galaxy A25 5G,18399,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/Samsung-Storage-Android-Expandable-Battery/dp/B0CP7XHXG2,15999,"10% off on HDFC CC (up to ₹1000)",https://www.flipkart.com/samsung-galaxy-a25-5g-blue-black-256-gb/p/itm2a8153e01ba0b
Phones,Moto G85 5G,15599,"10% off on ICICI CC (up to ₹1000)",https://www.amazon.in/Moto-G85-128GB-Olive-Green/dp/B0D9GM15RC,15999,"5% cashback on Axis CC",https://www.flipkart.com/motorola-g85-5g-olive-green-128-gb/p/itm1c4b849213a0e
Phones,Nothing Phone 2a,21659,"10% off on SBI CC (up to ₹1500)",https://www.amazon.in/Nothing-Mediatek-Dimensity-Processor-Interface/dp/B0D37CGH1Z,27999,"10% off on ICICI CC (up to ₹1000)",https://www.flipkart.com/nothing-phone-2a-5g-special-edition-256-gb/p/itm1c4b849213a0e
Phones,CMF Phone 1,15403,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/CMF-NOTHING-Phone-128-Black/dp/B0D935PW3P,15403,"5% cashback on HDFC CC",https://www.flipkart.com/cmf-nothing-phone-1-5g/p/itm9bfa0dd29dbcb
Phones,Realme Narzo 70,12899,"10% off on ICICI CC (up to ₹500)",https://www.amazon.in/realme-Storage-Dimensity-Chipset-Display/dp/B0CZS4V2Y8,13628,"10% off on Axis CC (up to ₹500)",https://www.flipkart.com/realme-narzo-70-5g-ice-blue-128-gb/p/itm0d29cc0b3111b
Phones,Infinix Note 40,15999,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Infinix-Note-5G-Obsidian-Black/dp/B0D5HMNFX2,21999,"5% cashback on ICICI CC",https://www.flipkart.com/infinix-note-40-pro-5g-vintage-green-256-gb/p/itma7197f5eb7e85
Phones,Tecno Pova 6,19999,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/Tecno-Advanced-Features-Powerful-Processor/dp/B0DCZMWXJL,11999,"10% off on HDFC CC (up to ₹1000)",https://www.flipkart.com/tecno-pova-6-neo-5g-midnight-shadow-128-gb/p/itmd24accb9a72ed
Phones,Vivo T3 5G,16499,"10% off on ICICI CC (up to ₹1000)",https://www.amazon.in/Vivo-Smartphone-Vibrant-Green-Storage/dp/B0D93HRDD3,15499,"5% cashback on Axis CC",https://www.flipkart.com/vivo-t3-5g-crystal-flake-128-gb/p/itm69b3c5633378f
Phones,Oppo A3 Pro,16499,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Oppo-Moonlight-Purple-128Gb-Storage/dp/B0D83H2DF6,17999,"10% off on ICICI CC (up to ₹1000)",https://www.flipkart.com/oppo-a3-pro-5g-starry-black-128-gb/p/itmc5f69a7aac2a1
Phones,Honor 200 Lite,19999,"10% off on HDFC CC (up to ₹1500)",N/A,19999,"5% cashback on HDFC CC",https://www.flipkart.com/honor-200-lite-5g-midnight-black-256-gb/p/itm1aa61bf88e064
Phones,Xiaomi 14 Civi,25999,"10% off on ICICI CC (up to ₹2000)",https://www.amazon.in/Xiaomi-CIVI-Cruise-256GB-Storage/dp/B0D83M6WVX,25999,"10% off on Axis CC (up to ₹1500)",https://www.flipkart.com/14-civi/p/itmdf7287cef4f11
Phones,OnePlus Nord 4,27154,"10% off on SBI CC (up to ₹1500)",https://www.amazon.in/OnePlus-Oasis-Green-256GB-Storage/dp/B0D7VGZS69,29942,"5% cashback on ICICI CC",https://www.flipkart.com/oneplus-nord-4-5g-oasis-green-256-gb/p/itm185d724e01e41
Phones,Samsung Galaxy F54,24786,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/Samsung-Galaxy-F54-Meteor-Blue/dp/B0CCMVQZM3,22999,"10% off on HDFC CC (up to ₹1000)",https://www.flipkart.com/samsung-galaxy-f54-5g-stardust-silver-256-gb/p/itme2f1ad33150df
Phones,Moto Edge 50 Fusion,18539,"10% off on ICICI CC (up to ₹1500)",https://www.amazon.in/Motorola-Fusion-Marshmallow-256GB-Storage/dp/B0D4JLSGBB,18999,"5% cashback on Axis CC",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-128-gb/p/itm7d39b15599c7e
Phones,Poco X6 Pro,22999,"10% off on SBI CC (up to ₹1500)",https://www.amazon.in/POCO-Pro-Yellow-256GB-Storage/dp/B0CSDQY4X7,22999,"10% off on ICICI CC (up to ₹1000)",https://www.flipkart.com/poco-x6-pro-5g-yellow-256-gb/p/itm46a0b51f57a68
Laptops,HP 15-fd0467TU,48990,"10% off on SBI CC (up to ₹3000)",https://www.amazon.in/HP-i5-1334U-15-6-inch-Anti-Glare-15-FD0467TU/dp/B0DVLQVCG7,50990,"10% off on Axis CC (up to ₹2500)",https://www.flipkart.com/hp-15-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-15-fd0576tu-15-fd0467tu-thin-light-laptop/p/itm3d552029526ba
Laptops,Dell 15 2025,41089,"10% off on HDFC CC (up to ₹2000)",https://www.amazon.in/DELL-15-Intel-Core-1335U/dp/B0FGK3DTFH,41089,"5% cashback on HDFC CC",https://www.flipkart.com/dell-15-2025-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-intel-uhd-graphics-windows-11-home-thin-and-light-business-laptop-15-6-hd-display-smo/p/itm01d0067724998
Laptops,Lenovo ThinkBook 16,72990,"10% off on ICICI CC (up to ₹3000)",https://www.amazon.in/Lenovo-ThinkBook-16-G7-ISP-21KC000VIN/dp/B0D7K9L2M3,72990,"10% off on ICICI CC (up to ₹2500)",https://www.flipkart.com/lenovo-thinkbook-16-g7-isp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm6f8b3c4d7e5f2
Laptops,MSI Thin 15,69990,"10% off on SBI CC (up to ₹3000)",https://www.amazon.in/MSI-Thin-15-B12UC-2025/dp/B0D5H8G7YJ,57990,"5% cashback on Axis CC",https://www.flipkart.com/msi-thin-15-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-144-hz-b13udx-3223in-gaming-laptop/p/itm850dabf8c0dd3
Laptops,Lenovo LOQ 2024,72152,"10% off on HDFC CC (up to ₹3000)",https://www.amazon.in/Lenovo-i7-13650HX-39-6cm-300Nits-83DV00LWIN/dp/B0D5D9SVMP,74990,"10% off on HDFC CC (up to ₹2500)",https://www.flipkart.com/lenovo-loq-2024-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-15irx9d2-gaming-laptop/p/itm52e42e03042c6
Laptops,HP Victus,72152,"10% off on ICICI CC (up to ₹3000)",https://www.amazon.in/HP-i5-13420H-15-6-inch-Backlit-fa1319TX/dp/B0D1YJR2ZY,58490,"5% cashback on ICICI CC",https://www.flipkart.com/hp-victus-15-fa2103tx-gaming-laptop-13th-gen-core-i7-16gb-512gb-ssd-win11-6gb-graphics-rtx4050-15-6-inch-144-hz-full-hd-gaming-laptop/p/itm1c4b849213a0e
Laptops,Acer ALG,69990,"10% off on SBI CC (up to ₹3000)",https://www.amazon.in/Acer-Processor-Graphics-Win11Home-AL15G-53/dp/B0DFHDY8GG,57212,"10% off on Axis CC (up to ₹2000)",https://www.flipkart.com/acer-alg-intel-core-i5-12th-gen-12450h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-2050-al15g-52-gaming-laptop/p/itm49baa92c8edd3
Laptops,ASUS Vivobook 15,49990,"10% off on HDFC CC (up to ₹2000)",https://www.amazon.in/ASUS-Vivobook-Laptop-Windows-M1502YA-BQ989WS/dp/B0FLPQ2563,49990,"5% cashback on HDFC CC",https://www.flipkart.com/asus-vivobook-15-2025-x1504va-nj342ws-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm5f4b3a9c5e4d6
Laptops,Apple MacBook Air M4,99900,"10% off on ICICI CC (up to ₹5000)",https://www.amazon.in/Apple-MacBook-13-inch-10-core-Unified/dp/B0DZD8QJBH,99900,"10% off on Axis CC (up to ₹4000)",https://www.flipkart.com/apple-macbook-air-m4-16-gb-256-gb-ssd-macos-sequoia-mc6t4hn-a/p/itm7c1831ce25509
Laptops,HP 15-fd0574TU,59490,"10% off on SBI CC (up to ₹2000)",https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-15-6-inch/dp/B0C3RF3HT3,59490,"5% cashback on ICICI CC",https://www.flipkart.com/hp-15-2025-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm01d0067724998
Laptops,Dell Inspiron 14,54700,"10% off on HDFC CC (up to ₹2000)",https://www.amazon.in/DELL-Renewed-Intel-Core-11th/dp/B07YV7QL9L,54990,"10% off on HDFC CC (up to ₹2000)",https://www.flipkart.com/dell-new-inspiron-14-2-in-1-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-7440-2-1-laptop/p/itm42ba26930873a
Laptops,Lenovo IdeaPad Slim 3,61990,"10% off on ICICI CC (up to ₹3000)",https://www.amazon.in/Lenovo-IdeaPad-Slim-3-15IRH8/dp/B0D5H8G7YJ,61990,"5% cashback on Axis CC",https://www.flipkart.com/lenovo-ideapad-slim-3-next-gen-ai-pc-wuxga-ips-copilot-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-15q8x10-thin-light-laptop/p/itm097ac7e15511b
Laptops,Acer Aspire 5,52800,"10% off on SBI CC (up to ₹2000)",https://www.amazon.in/Acer-i5-1335U-15-6-inch-Anti-Glare-A515-58/dp/B0D5J8G9YJ,54999,"10% off on ICICI CC (up to ₹1500)",https://www.flipkart.com/acer-aspire-5-15-core-i5-13th-gen-8-gb-512-gb-ssd-windows-11-home-a515-58m-thin-light-laptop/p/itm68891d2dea26b
Laptops,ASUS VivoBook 16,72990,"10% off on HDFC CC (up to ₹3000)",https://www.amazon.in/ASUS-Vivobook-16-2025-x1605zac-mb540ws-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm0d5c7d4d7b5e4,72990,"5% cashback on HDFC CC",https://www.flipkart.com/asus-vivobook-16-2025-x1605zac-mb540ws-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm0d5c7d4d7b5e4
Laptops,Samsung Galaxy Book4,56989,"10% off on ICICI CC (up to ₹3000)",https://www.amazon.in/Samsung-Book4-15-6-Processor-Graphics-NP754XGQ-LS1IN/dp/B0FGNX9YM4,56989,"10% off on Axis CC (up to ₹2500)",https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lj4in-thin-light-laptop/p/itm1ad811a174c21
Laptops,HP Pavilion x360,86303,"10% off on SBI CC (up to ₹3000)",https://www.amazon.in/HP-Enhanced-14-inch-Camera-FC0100TU/dp/B0CWFG8ZQM,76490,"5% cashback on ICICI CC",https://www.flipkart.com/hp-pavilion-x360-intel-core-i5-13th-gen-1335u-16-gb-1-tb-ssd-windows-11-home-14-ek1009tu-2-1-laptop/p/itmfc3d2bcd0bd9f
Laptops,Lenovo Yoga Slim 7,139990,"10% off on HDFC CC (up to ₹5000)",https://www.amazon.in/Lenovo-Yoga-Slim-7-14IIL05/dp/B0D3M7J6K2,139990,"10% off on HDFC CC (up to ₹4000)",https://www.flipkart.com/lenovo-yoga-slim-7-intel-core-ultra-5-125h-16-gb-512-gb-ssd-windows-11-home-14imh9-thin-light-laptop/p/itmbd1062eb55129
Laptops,Dell XPS 13,83990,"10% off on ICICI CC (up to ₹4000)",https://www.amazon.in/Dell-XPS-13-9315-Laptop/dp/B0D5J8G9YJ,83990,"5% cashback on Axis CC",https://www.flipkart.com/dell-xps-13-9315-intel-core-i7-12th-gen-1250u-16-gb-512-gb-ssd-windows-11-home-13-4-inch-ultra-thin-light-laptop/p/itm0d5c7d4d7b5e4
Laptops,MacBook Pro M3,139900,"10% off on SBI CC (up to ₹5000)",https://www.amazon.in/Apple-MacBook-Pro-14-inch-M3/dp/B0D7K9L2M3,139900,"10% off on ICICI CC (up to ₹4000)",https://www.flipkart.com/apple-macbook-pro-m3-18-gb-512-gb-ssd-macos-sonoma-mrx33hn-a/p/itmc6c3726cfd382
Laptops,Acer Nitro 5,72152,"10% off on HDFC CC (up to ₹3000)",https://www.amazon.in/Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CHJJZ9G8,54999,"5% cashback on HDFC CC",https://www.flipkart.com/acer-nitro-5-intel-core-i5-12th-gen-12500h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-an515-58-gaming-laptop/p/itm744689be86fc0
Laptops,ASUS TUF Gaming A15,72152,"10% off on ICICI CC (up to ₹3000)",https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J,63990,"10% off on Axis CC (up to ₹2500)",https://www.flipkart.com/asus-tuf-gaming-a15-2025-amd-ryzen-7-hexa-core-7445hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa506ncg-hn199w-laptop/p/itmca7ce1e457d2f
Laptops,MSI GF63 Thin,54990,"10% off on SBI CC (up to ₹2000)",https://www.amazon.in/MSI-GF63-Thin-11UC-2025/dp/B0D5J8G9YJ,54990,"5% cashback on ICICI CC",https://www.flipkart.com/msi-gf63-thin-intel-core-i5-9th-gen-9300h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-max-q-9scxr-418in-gaming-laptop/p/itm287d00c8221e7
Laptops,HP Omen 16,72152,"10% off on HDFC CC (up to ₹3000)",https://www.amazon.in/HP-NVIDIA-Office24-Backlit-ah0190TX/dp/B0FBRVMPFR,58490,"10% off on HDFC CC (up to ₹2500)",https://www.flipkart.com/hp-omen-16-wf1096tx-intel-core-i7-13th-gen-13700hx-16-gb-1-tb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-4070-16-1-inch-gaming-laptop/p/itm6f8b3c4d7e5f2
Laptops,Lenovo Legion 5,87990,"10% off on ICICI CC (up to ₹4000)",https://www.amazon.in/Lenovo-Legion-Windows-Phantom-82AU00CFIN/dp/B08GG8LZ8S,100990,"5% cashback on Axis CC",https://www.flipkart.com/lenovo-legion-5-intel-core-i7-14th-gen-14650hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4070-16irx9-gaming-laptop/p/itm28572dfa93ad0
Laptops,Razer Blade 14,199990,"10% off on SBI CC (up to ₹5000)",https://www.amazon.com/Razer-Blade-Gaming-Laptop-Lightweight/dp/B0FP47DNFQ,199990,"10% off on ICICI CC (up to ₹5000)",https://www.amazon.in/Razer-Blade-14-RZ09-0421EDT3-R3U1/dp/B0D3M7J6K2
Laptops,Alienware m16,184990,"10% off on HDFC CC (up to ₹5000)",https://www.amazon.in/Dell-Smartchoice-Alienware-Alienfx-Metallic/dp/B0CYLXD4K5,184990,"5% cashback on HDFC CC",https://www.flipkart.com/alienware-m16-r2-amd-gaming-laptop-2025-amd-ryzen-9-octa-core-7945hx-32-gb-1-tb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-4070-16-inch-240-hz-gaming-laptop/p/itm0d5c7d4d7b5e4
Laptops,Gigabyte Aorus 15,209890,"10% off on ICICI CC (up to ₹5000)",https://www.amazon.com/GIGABYTE-AORUS-15-IPS-Level-XE4-73USB14SH/dp/B09RQ75FBI,209890,"10% off on Axis CC (up to ₹4000)",https://www.flipkart.com/gigabyte-aorus-15-9sf-gaming-laptop-intel-core-i5-12th-gen-12500h-16-gb-1-tb-ssd-windows-11-pro-8-graphics-nvidia-geforce-rtx-4070-aorus-15-9sf-gaming-laptop/p/itm5f4b3a9c5e4d6
Laptops,Acer Predator Helios 300,91990,"10% off on SBI CC (up to ₹4000)",https://www.amazon.in/Acer-Predator-Helios-GeForce-Backlit/dp/B0CBJT142S,91990,"5% cashback on ICICI CC",https://www.flipkart.com/acer-predator-helios-300-core-i7-11800h-11th-gen-16-gb-1-tb-hdd-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-3060-165-hz-ph315-54-gaming-laptop/p/itm8174f86902eaa
Laptops,ASUS ROG Strix G16,299990,"10% off on HDFC CC (up to ₹5000)",https://www.amazon.in/ASUS-ROG-ROG-Strix-Gaming-Laptop/dp/B0DZZWMB2L,154990,"10% off on HDFC CC (up to ₹5000)",https://www.flipkart.com/asus-rog-strix-g16-2025-office-2024-m365-basic-intel-core-i7-14th-gen-14650hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-240-hz-g615jhr-s5005ws-gaming-laptop/p/itm174a98e37d25c
